id,lsoa11cd,lsoa21cd,lad22nm
21702,E01022343,E01022343,Gloucester
21706,E01022292,E01022292,Gloucester
21707,E01022293,E01022293,Gloucester
21708,E01022294,E01022294,Gloucester
21709,E01022295,E01022295,Gloucester
21710,E01022296,E01022296,Gloucester
21711,E01022297,E01022297,Gloucester
21712,E01022298,E01022298,Gloucester
21713,E01022299,E01022299,Gloucester
21714,E01022300,E01022300,Gloucester
21715,E01022301,E01022301,Gloucester
21716,E01022302,E01022302,Gloucester
21717,E01022303,E01022303,Gloucester
21718,E01022304,E01022304,Gloucester
21719,E01022305,E01022305,Gloucester
21720,E01022306,E01022306,Gloucester
21721,E01022307,E01022307,Gloucester
21722,E01022308,E01022308,Gloucester
21723,E01022309,E01022309,Gloucester
21725,E01022310,E01022310,Gloucester
21728,E01022311,E01022311,Gloucester
21733,E01022344,E01022344,Gloucester
21734,E01022312,E01022312,Gloucester
21739,E01022345,E01022345,Gloucester
21742,E01022346,E01022346,Gloucester
21745,E01022313,E01022313,Gloucester
21748,E01022347,E01034793,Gloucester
21751,E01022314,E01022314,Gloucester
21754,E01022348,E01034791,Gloucester
21758,E01022315,E01022315,Gloucester
21809,E01022276,E01022276,Gloucester
21810,E01022277,E01022277,Gloucester
21811,E01022278,E01022278,Gloucester
21812,E01022279,E01022279,Gloucester
21813,E01022280,E01022280,Gloucester
21814,E01022281,E01022281,Gloucester
21815,E01022282,E01022282,Gloucester
21816,E01022283,E01022283,Gloucester
21817,E01022284,E01022284,Gloucester
21818,E01022285,E01022285,Gloucester
21819,E01022286,E01022286,Gloucester
21820,E01022287,E01022287,Gloucester
21821,E01022288,E01022288,Gloucester
21822,E01022289,E01022289,Gloucester
21823,E01022290,E01022290,Gloucester
21824,E01022291,E01022291,Gloucester
21826,E01022316,E01022316,Gloucester
21829,E01022317,E01022317,Gloucester
21830,E01022318,E01022318,Gloucester
21831,E01022319,E01022319,Gloucester
21832,E01022320,E01022320,Gloucester
21833,E01022321,E01022321,Gloucester
21834,E01022322,E01022322,Gloucester
21835,E01022323,E01022323,Gloucester
21836,E01022324,E01022324,Gloucester
21837,E01022325,E01022325,Gloucester
21838,E01022326,E01022326,Gloucester
21839,E01022327,E01022327,Gloucester
21840,E01022328,E01022328,Gloucester
21841,E01022329,E01022329,Gloucester
21842,E01022330,E01022330,Gloucester
21843,E01022331,E01022331,Gloucester
21844,E01022332,E01022332,Gloucester
21845,E01022333,E01022333,Gloucester
21846,E01022334,E01022334,Gloucester
21847,E01022335,E01022335,Gloucester
21848,E01022336,E01022336,Gloucester
21849,E01022338,E01022338,Gloucester
21850,E01022339,E01022339,Gloucester
21852,E01022340,E01022340,Gloucester
21853,E01022341,E01022341,Gloucester
21854,E01022342,E01022342,Gloucester
32290,E01032932,E01032932,Gloucester
32291,E01032933,E01032933,Gloucester
32292,E01032934,E01034797,Gloucester
32293,E01032935,E01032935,Gloucester
32294,E01032936,E01034795,Gloucester
32295,E01032937,E01032937,Gloucester
